ID queja,ID empleado,Area,Comentarios,NLP,Score,Sentimiento,Score norm
a2278be4-abeb-45ce-8371-c1ab1a425762,1323cba3-a0d9-48fd-8abd-516cf323e8de,Operaciones,La ruta estuvo llena de sorpresas que no me avisaron,"{'label': 'Negativo', 'score': 0.988304853439331}",0.988304853439331,Negativo,-0.988304853439331
373a38cd-eabd-416d-9cfd-a0319dac46e5,096dad80-8e4b-4554-8623-cfc0f9aabd6d,RH,"Las políticas de la empresa son buenas, pero algo rígidas","{'label': 'Positivo', 'score': 0.995107889175415}",0.995107889175415,Positivo,0.995107889175415
f25b6e33-e025-42be-a572-e6762842aa2c,0cbb0abe-9804-4a99-baf3-7c5e21b635f8,Operaciones,El coordinador no estuvo disponible para darme soporte en el viaje.,"{'label': 'Positivo', 'score': 0.8066925406455994}",0.8066925406455994,Positivo,0.8066925406455994
3d34e655-f12d-40b9-a252-4669b1911bc7,a65f3c7d-2841-4e88-aaa3-4d374d2fafaf,RH,Me gustaría que hubiera más respeto hacia los conductores,"{'label': 'Positivo', 'score': 0.6530255675315857}",0.6530255675315857,Positivo,0.6530255675315857
dcea49bb-5a68-4891-b54e-50723ea29a5c,ce04caa2-c915-4cc4-9331-33a1baee2611,Operaciones,"El viaje estuvo lleno de problemas, el coordinador no brindó apoyo adecuado","{'label': 'Negativo', 'score': 0.9987595081329346}",0.9987595081329346,Negativo,-0.9987595081329346
58fc1f93-a214-44f7-bba3-d8b6c0bd23c0,542be27d-8131-4b02-81ef-bf7471388e40,Finanzas,Las propinas no se reflejan en el balance de inmediato,"{'label': 'Negativo', 'score': 0.9711253643035889}",0.9711253643035889,Negativo,-0.9711253643035889
8d8a149e-d01c-4fc5-b526-e18a965003a2,704a9e67-cf7f-4ab8-a463-767a9affed29,Operaciones,El viaje fue mucho más largo de lo esperado debido a la mala planificación,"{'label': 'Negativo', 'score': 0.996208906173706}",0.996208906173706,Negativo,-0.996208906173706
760c018e-a08e-4a33-9ef1-7409a6d69331,a60ebf4d-d2cf-467f-bbf3-46d1dd0f0a95,Operaciones,El sistema no reconoció que completé el viaje,"{'label': 'Negativo', 'score': 0.7731876969337463}",0.7731876969337463,Negativo,-0.7731876969337463
8af9a6b4-9f80-4c73-86d4-c43a21e645bf,8a0a0d9f-021e-45f1-a341-89be1fec450b,RH,No siempre hay buena comunicación con la administración,"{'label': 'Positivo', 'score': 0.637354850769043}",0.637354850769043,Positivo,0.637354850769043
70487693-d8b6-47f8-8fdb-956b85cbd0dd,ea84702a-7cce-4c2b-a2f9-9bc27f51f309,RH,La carga de trabajo es algo elevada en ciertos momentos del mes,"{'label': 'Positivo', 'score': 0.8595994710922241}",0.8595994710922241,Positivo,0.8595994710922241
073440b5-958c-4b6e-a40c-a13d9051f1ee,b3e55b5f-4a20-4c37-a4ca-bf47e48d113a,Operaciones,Las zonas de carga están siempre ocupadas,"{'label': 'Positivo', 'score': 0.9414194226264954}",0.9414194226264954,Positivo,0.9414194226264954
